mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample
135.0805977,135.0805817,135.0806274,443.467,439.032,448.011,21710433.06,21710422.59,3242496,3242495,1
135.0806003,135.0804749,135.0806885,368.686,364.386,373.086,475608.6604,475598.5104,62426.75391,62426,1
135.0806109,135.0805969,135.0806274,302.973,296.809,308.973,732421.0101,732407.3256,83248.72656,83248,1
135.0806598,135.0806274,135.0806885,474.165,468.845,482.287,1728188.604,1728173.817,140572.4844,140571,1
135.8954715,135.8953705,135.8955994,70.8255,65.1628,74.7909,133210.025,130892.3755,22480.46289,41,1
135.8954854,135.895401,135.8955688,78.7878,74.7909,84.0715,204331.9833,202097.983,28848.59961,53,1
135.8954872,135.8954315,135.8955688,92.1839,85.41,104.695,323168.5314,318816.4392,26348.7832,49,1
135.9271082,135.9270325,135.9272919,551.88,549.228,555.717,274264.0588,274258.8676,78690.76563,78690,1
135.9272635,135.9272461,135.9272919,245.434,239.371,254.5,612653.5289,611649.8973,79800.94531,295,1
135.9344122,135.9343109,135.9344788,546.652,542.824,550.487,915642.8213,915636.4355,284461.6875,284461,1
135.9658738,135.9657745,135.9659271,1782.44,1778.2,1785.08,12705.21991,12699.71591,2905.01001,2904,1
135.9818828,135.9818573,135.9819031,1782.44,1778.2,1785.08,25786.01358,25780.50958,7281.041992,7280,1
136.0156583,136.0156403,136.015686,242.489,234.759,251.379,417867.7509,379279.5955,39634.62109,24,1
136.0343605,136.0341644,136.0343933,560.934,558.359,564.751,113068.4394,113063.3258,57291.16406,57290,1
136.0393407,136.0392761,136.0394592,541.568,536.126,547.939,981647.7154,706759.3079,143710.125,14,1
136.0394344,136.0394135,136.0394592,420.289,414.643,425.732,1721864.092,1512942.056,277463.4375,33,1
136.0475519,136.0475159,136.0475922,440.444,433.214,446.416,282800.827,282786.1581,23284.72656,23284,1
136.0475713,136.0475311,136.0476227,407.252,401.477,408.704,156067.8456,156059.1732,21303.00781,21302,1
136.0475742,136.0475464,136.0476074,373.086,367.323,379.147,379693.1915,379679.8895,39733.42969,39732,1
136.0475877,136.0474091,136.047699,450.805,446.416,454.889,171651.4193,171641.5341,21557.67578,21557,1
136.047596,136.0474548,136.04776,421.649,416.074,433.214,364413.0964,364394.5281,26219.89648,26219,1
136.047609,136.0475464,136.0476379,462.07,454.889,467.552,357943.4354,357929.3654,34359.66797,34359,1
136.0476241,136.0475769,136.0476837,392.622,388.232,401.477,277380.2047,277365.4881,23663.94141,23663,1
136.0476273,136.0475769,136.047699,354.024,349.421,361.292,313533.5741,313520.2193,27652.16797,27651,1
136.0476439,136.0475769,136.0478058,331.61,324.17,340.542,419966.5615,419948.7011,28261.99023,28261,1
136.0476459,136.0475922,136.0477142,346.452,340.542,349.421,248293.4312,248283.0724,27439.69531,27439,1
136.0476514,136.0473938,136.0477753,472.867,467.552,478.212,351164.3329,351152.3404,40887.14844,40886,1
136.0478928,136.0476227,136.0480804,318.068,304.408,331.61,658640.7598,658613.5578,29902.49609,29901,1
136.0479232,136.0477295,136.0480804,308.973,304.408,313.454,235344.3226,235335.2766,28900.26172,28899,1
136.0505232,136.0504303,136.050705,4.84611,0.323114,9.30961,163928.7464,163919.7599,19800.63086,19800,1
136.0505555,136.0504456,136.0506592,46.0382,41.6774,49.0613,167474.1696,167465.3089,30233.4668,30232,1
136.0505567,136.0504761,136.050705,28.6801,22.7592,33.0785,201645.2534,201633.4599,24123.81055,24123,1
136.0505991,136.0504913,136.0506897,53.4416,49.0613,57.8986,181542.5323,181532.2221,22383.98828,22383,1
136.0506073,136.0504761,136.0507355,80.123,77.5303,84.0715,108090.1143,108082.2649,19162.57617,19162,1
136.0506105,136.0504608,136.0507202,113.463,107.645,116.333,174038.6566,174028.5206,26093.39648,26092,1
136.0506256,136.0504761,136.050705,101.917,97.7155,107.645,195302.6581,195291.3101,21210.86914,21210,1
136.0506266,136.0504761,136.0507202,15.2736,9.30961,22.7592,284627.1016,284612.1576,25693.16992,25692,1
136.0506315,136.0505219,136.0507355,150.275,145.873,156.156,195303.0551,195291.3031,22207.64648,22207,1
136.0506402,136.0504608,136.050766,37.4038,33.0785,41.6774,208261.3091,208251.277,25121.85547,25121,1
136.0506455,136.0505829,136.0507355,184.744,179.316,190.05,155166.2922,155154.2165,16638.51172,16638,1
136.0506529,136.0505829,136.0507202,287.721,269.523,296.809,276874.9028,276847.6168,14168.81348,14168,1
136.0506748,136.0504913,136.0507355,88.1191,84.0715,90.8398,129226.7487,129218.6268,20826.51172,20826,1
136.0506764,136.0505066,136.0507813,194.138,190.05,198.349,123776.5809,123766.8988,15213.03125,15212,1
136.0506805,136.0506439,136.0507355,172.546,168.139,179.316,146811.977,146799.4029,14459.64551,14459,1
136.050685,136.0506439,136.0507355,65.1628,52.0287,74.7909,436410.105,436385.9202,22925.94336,22925,1
136.0506866,136.0506134,136.0507202,202.815,198.349,207.421,134545.9948,134535.4108,14909.40234,14908,1
136.0506901,136.0506439,136.0507202,160.612,156.156,165.111,158273.3373,158262.8898,20431.74219,20431,1
136.0506992,136.0505829,136.0507507,258.953,251.379,269.523,211912.0529,211892.3969,14957.10938,14956,1
136.0507058,136.0506592,136.0507355,239.371,233.268,245.434,170774.8682,170761.1815,15943.96973,15943,1
136.050707,136.0506592,136.0507355,277.142,269.523,281.622,138645.784,138632.1727,12752.22363,12751,1
136.0507123,136.0506744,136.050766,131.095,123.793,135.577,217814.6202,217801.3632,21063.63281,21063,1
136.0507145,136.0506897,136.0507507,248.422,245.434,254.5,123273.2735,123262.6965,15408.67676,15408,1
136.050731,136.050705,136.050766,218.131,207.421,228.829,295347.5441,295324.6069,19106.34961,19105,1
136.0520339,136.0520172,136.0520477,302.973,295.322,308.973,13189517.83,13128183.33,1915194.375,517,1
136.0758258,136.0757904,136.0758362,73.4959,68.0904,77.5303,1469121.707,1424111.563,343672.25,81,1
136.0838779,136.0837708,136.0839691,428.638,423.011,433.214,2149449.514,2093044.53,503961.7813,159,1
136.0839232,136.0838928,136.0839539,436.136,433.214,439.032,1986345.288,1951166.459,402557.3438,126,1
136.0839339,136.0839081,136.0839539,443.467,439.032,448.011,2155556.683,2104884.173,312039.1563,98,1
136.9353073,136.9351349,136.9354553,362.892,359.852,367.323,27240.66462,27234.68782,5999.780762,5999,1
